Email;CodigoCliente;Nombre
adianserviciosasistenciales@gmail.com;2429;RESID. ANCIANOS SANTIBAÑEZ EL BAJO
adianserviciosasistenciales@gmail.com;2429;RESID. ANCIANOS SANTIBAÑEZ EL BAJO
adianserviciosasistenciales@gmail.com;8748;RESID. ROSARIO TERRON CASAR D PALOMERO
adianserviciosasistenciales@gmail.com;8748;RESID. ROSARIO TERRON CASAR D PALOMERO
administracion@campesano.es;1472;CARNICAS CAMPESANO
administracion@campesano.es;1472;CARNICAS CAMPESANO
administracion@campingriojerte.com;3225;CAMPING BUNG. RIO JERTE, S.L.L.
administracion@campingriojerte.com;3225;CAMPING BUNG. RIO JERTE, S.L.L.
administracion@lofriex.com;1500;FRIO PLAS, S.L.
administracion@lofriex.com;1500;FRIO PLAS, S.L.
alamoseras@gmail.com;7016;RESID. ANCIANOS RIOLOBOS
alamoseras@gmail.com;7016;RESID. ANCIANOS RIOLOBOS
alamoseras@gmail.com;7016;RESID. ANCIANOS RIOLOBOS
alamoseras@gmail.com;7016;RESID. ANCIANOS RIOLOBOS
almacen@huevosmateos.es;9000;CATALOGO CLIENTES
almacen@huevosmateos.es;9000;CATALOGO CLIENTES
almacen@huevosmateos.es;9998;CLIENTE PARA REGULARIZACIONES
almacen@huevosmateos.es;9998;CLIENTE PARA REGULARIZACIONES
almacen@huevosmateos.es;9999;CLIENTE PARA REGULARIZACIONES
almacen@huevosmateos.es;9999;CLIENTE PARA REGULARIZACIONES
anamanuel65@gmail.com;1520;PASTELERIA AVDA. EXTREMADURA
anamanuel65@gmail.com;1520;PASTELERIA AVDA. EXTREMADURA
bravobravo66633@gmail.com;1173;BRAVO´S DINER PLASENCIA
bravobravo66633@gmail.com;1173;BRAVO´S DINER PLASENCIA
bravobravo66633@gmail.com;1179;BAR SIRIMIRI PLASENCIA
bravobravo66633@gmail.com;1179;BAR SIRIMIRI PLASENCIA
bravobravo66633@gmail.com;1558;CAFETERIA BRAVO
bravobravo66633@gmail.com;1558;CAFETERIA BRAVO
carniceriabernal@gmail.com;1117;BERNAL SANTA ELENA
carniceriabernal@gmail.com;1117;BERNAL SANTA ELENA
carniceriabernal@gmail.com;1117;BERNAL SANTA ELENA
carniceriabernal@gmail.com;1117;BERNAL SANTA ELENA
carniceriabernal@gmail.com;1117;BERNAL SANTA ELENA
carniceriabernal@gmail.com;1130;BERNAL ROSAL DE AYALA
carniceriabernal@gmail.com;1130;BERNAL ROSAL DE AYALA
carniceriabernal@gmail.com;1130;BERNAL ROSAL DE AYALA
carniceriabernal@gmail.com;1130;BERNAL ROSAL DE AYALA
carniceriabernal@gmail.com;1130;BERNAL ROSAL DE AYALA
carniceriabernal@gmail.com;1133;BERNAL SOR VALENTINA
carniceriabernal@gmail.com;1133;BERNAL SOR VALENTINA
carniceriabernal@gmail.com;1133;BERNAL SOR VALENTINA
carniceriabernal@gmail.com;1133;BERNAL SOR VALENTINA
carniceriabernal@gmail.com;1133;BERNAL SOR VALENTINA
carniceriabernal@gmail.com;1184;BERNAL AVDA. EXTREMADURA
carniceriabernal@gmail.com;1184;BERNAL AVDA. EXTREMADURA
carniceriabernal@gmail.com;1184;BERNAL AVDA. EXTREMADURA
carniceriabernal@gmail.com;1184;BERNAL AVDA. EXTREMADURA
carniceriabernal@gmail.com;1184;BERNAL AVDA. EXTREMADURA
cein.sfranciscoasis@cex.jcyl.es;2560;CAMP Y CO (FIAMBRES)
cein.sfranciscoasis@cex.jcyl.es;2560;CAMP Y CO (FIAMBRES)
cein.sfranciscoasis@cex.jcyl.es;2560;CAMP Y CO (FIAMBRES)
cein.sfranciscoasis@cex.jcyl.es;2560;CAMP Y CO (FIAMBRES)
cein.sfranciscoasis@cex.jcyl.es;2560;CAMP Y CO (FIAMBRES)
cein.sfranciscoasis@cex.jcyl.es;2560;CAMP Y CO (FIAMBRES)
centroadministrativo@lechepascual.com;0575;LECHE PASCUAL, S.A.
centroadministrativo@lechepascual.com;0575;LECHE PASCUAL, S.A.
centroadministrativo@lechepascual.com;0575;LECHE PASCUAL, S.A.
centroresidencial@pasarondelavera.es;3703;CENTRO DE DIA PASARON
centroresidencial@pasarondelavera.es;3703;CENTRO DE DIA PASARON
centroresidencial@pasarondelavera.es;3703;CENTRO DE DIA PASARON
centroresidencial@pasarondelavera.es;3703;CENTRO DE DIA PASARON
contabilidad@desguacevelasco.es;1470;DESGUACE VELASCO Y SOLANO, S.L.
contabilidad@desguacevelasco.es;1470;DESGUACE VELASCO Y SOLANO, S.L.
contabilidad@unaex.com;1490;EL PUCHERO DE SAN POLO, S.L.
contabilidad@unaex.com;1615;FRANCISCO JAVIER GIL IBÁÑEZ
cris031989@icloud.com;1110;BAR FRANC PLASENCIA
cris031989@icloud.com;1110;BAR FRANC PLASENCIA
davidmates81@hotmail.com;3574;BAR EL TOZÓN ARROYOMOLINOS
davidmates81@hotmail.com;3574;BAR EL TOZÓN ARROYOMOLINOS
direccion@hotelciudaddeplasencia.es;1537;HOTEL CIUDAD PLASENCIA (INDUCIDA)
direccion@hotelciudaddeplasencia.es;1537;HOTEL CIUDAD PLASENCIA (INDUCIDA)
direccion@hotelciudaddeplasencia.es;1577;HOTEL CIUDAD DE PLASENCIA, S.L.
direccion@hotelciudaddeplasencia.es;1577;HOTEL CIUDAD DE PLASENCIA, S.L.
elhornero@hotmail.com;4401;FRANCISCA MARTIN NUÑEZ
elhornero@hotmail.com;4401;FRANCISCA MARTIN NUÑEZ
escuelahogar@hhjst.org;1026;ESCUELA HOGAR PLACENTINA
escuelahogar@hhjst.org;1033;CASA MADRE JOSEFINAS SANTISIMA TRINIDAD
evadematiasamor76@gmail.com;4490;EMBUTIDOS DE MATIAS ( 1 )
evadematiasamor76@gmail.com;4490;EMBUTIDOS DE MATIAS ( 1 )
facturacion@balneariovalledeljerte.com;3061;BALNEARIO VALLE DEL JERTE
facturacion@balneariovalledeljerte.com;3061;BALNEARIO VALLE DEL JERTE
facturacion@balneariovalledeljerte.com;3061;BALNEARIO VALLE DEL JERTE
facturacion@balneariovalledeljerte.com;3061;BALNEARIO VALLE DEL JERTE
facturacion@balneariovalledeljerte.com;3069;BALN. VALLE JERTE (INDUCIDA)
facturacion@balneariovalledeljerte.com;3069;BALN. VALLE JERTE (INDUCIDA)
facturacion@balneariovalledeljerte.com;3069;BALN. VALLE JERTE (INDUCIDA)
facturacion@balneariovalledeljerte.com;3069;BALN. VALLE JERTE (INDUCIDA)
frutaspipo@hotmail.com;1347;ASOCIACION SAN JUAN
frutaspipo@hotmail.com;1347;ASOCIACION SAN JUAN
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1124;FRUTERIA HELIO MIRALVALLE
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1189;FRUTERIA HELIO OBISPO LASO
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1491;FRUTERIA HELIO AVDA. LA SALLE
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
